id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
78,Poker Face,Lady Gaga,pop,energetic,0.85,120,0.61,0.84,0.0
79,Bad Romance,Lady Gaga,pop,intense,0.7,120,0.52,0.76,0.0
80,Tik Tok,Kesha,pop,energetic,0.92,120,0.82,0.78,0.02
81,We Are Never Getting Back Together,Taylor Swift,pop,energetic,0.83,160,0.81,0.67,0.05
82,Love Story,Taylor Swift,pop,romantic,0.56,119,0.85,0.6,0.46
83,You Belong with Me,Taylor Swift,pop,happy,0.6,130,0.88,0.59,0.44
84,Thinking Out Loud,Ed Sheeran,pop,romantic,0.47,79,0.64,0.73,0.47
85,Castle on the Hill,Ed Sheeran,pop,nostalgic,0.74,135,0.73,0.62,0.1
86,Photograph,Ed Sheeran,pop,romantic,0.46,108,0.61,0.68,0.76
87,Havana,Camila Cabello,pop,romantic,0.52,105,0.74,0.8,0.38
88,Senorita,Camila Cabello & Shawn Mendes,pop,romantic,0.62,117,0.75,0.81,0.14
89,Treat You Better,Shawn Mendes,pop,energetic,0.73,147,0.78,0.69,0.21
90,Stitches,Shawn Mendes,pop,melancholic,0.62,148,0.57,0.72,0.43
91,God's Plan,Drake,hip-hop,moody,0.57,77,0.34,0.74,0.07
92,HUMBLE.,Kendrick Lamar,hip-hop,intense,0.91,150,0.42,0.91,0.01
93,Sicko Mode,Travis Scott,hip-hop,intense,0.73,155,0.4,0.84,0.02
94,Rockstar,Post Malone,hip-hop,moody,0.54,160,0.13,0.61,0.13
95,Old Town Road,Lil Nas X,hip-hop,playful,0.72,136,0.59,0.74,0.03
96,Lucid Dreams,Juice WRLD,hip-hop,melancholic,0.51,84,0.17,0.51,0.06
97,XO Tour Llif3,Lil Uzi Vert,hip-hop,moody,0.65,148,0.24,0.73,0.02
98,Mask Off,Future,hip-hop,moody,0.73,131,0.39,0.88,0.03
99,Bodak Yellow,Cardi B,hip-hop,intense,0.78,130,0.47,0.8,0.02
100,WAP,Cardi B ft. Megan Thee Stallion,hip-hop,energetic,0.79,134,0.57,0.86,0.01
101,Savage,Megan Thee Stallion,hip-hop,energetic,0.88,147,0.56,0.85,0.01
102,Mo Bamba,Sheck Wes,hip-hop,intense,0.81,144,0.19,0.76,0.01
103,DNA.,Kendrick Lamar,hip-hop,intense,0.88,146,0.64,0.75,0.01
104,ELEMENT.,Kendrick Lamar,hip-hop,intense,0.59,90,0.09,0.66,0.0
105,All the Stars,Kendrick Lamar,hip-hop,melancholic,0.53,116,0.37,0.6,0.07
106,Drip Too Hard,Lil Baby & Gunna,hip-hop,moody,0.79,143,0.46,0.82,0.01
107,Nice for What,Drake,hip-hop,happy,0.72,126,0.87,0.8,0.03
108,In My Feelings,Drake,hip-hop,happy,0.62,91,0.65,0.82,0.04
109,Money,Cardi B,hip-hop,energetic,0.85,118,0.59,0.86,0.01
110,Rap God,Eminem,hip-hop,intense,0.82,77,0.33,0.82,0.0
111,Lose Yourself,Eminem,hip-hop,intense,0.72,171,0.27,0.7,0.0
112,Without Me,Eminem,hip-hop,energetic,0.75,135,0.63,0.72,0.0
113,In Da Club,50 Cent,hip-hop,energetic,0.88,113,0.6,0.87,0.0
114,Gold Digger,Kanye West,hip-hop,energetic,0.87,112,0.74,0.8,0.0
115,Runaway,Kanye West,hip-hop,melancholic,0.43,130,0.2,0.38,0.02
116,Empire State of Mind,Jay-Z ft. Alicia Keys,hip-hop,happy,0.63,85,0.63,0.52,0.16
117,99 Problems,Jay-Z,hip-hop,intense,0.91,99,0.46,0.68,0.01
118,Yeah!,Usher,hip-hop,energetic,0.83,104,0.7,0.82,0.01
119,Bad and Boujee,Migos,hip-hop,moody,0.73,131,0.4,0.84,0.01
120,Congratulations,Post Malone,hip-hop,melancholic,0.48,123,0.29,0.62,0.27
121,Essence,Wizkid ft. Tems,hip-hop,romantic,0.64,97,0.73,0.8,0.03
122,Jumpman,Drake & Future,hip-hop,intense,0.79,96,0.38,0.76,0.01
123,No Role Modelz,J. Cole,hip-hop,moody,0.78,152,0.41,0.83,0.0
124,Middle Child,J. Cole,hip-hop,focused,0.65,112,0.42,0.8,0.01
125,Goosebumps,Travis Scott,hip-hop,moody,0.58,130,0.34,0.72,0.04
126,Antidote,Travis Scott,hip-hop,energetic,0.83,130,0.53,0.79,0.02
127,Magnolia,Playboi Carti,hip-hop,moody,0.77,138,0.39,0.81,0.01
128,Stir Fry,Migos,hip-hop,energetic,0.77,134,0.57,0.79,0.01
129,Montero,Lil Nas X,hip-hop,energetic,0.68,179,0.71,0.71,0.01
130,Industry Baby,Lil Nas X,hip-hop,energetic,0.84,150,0.7,0.8,0.01
131,Fight the Feeling,Macklemore,hip-hop,focused,0.6,92,0.52,0.65,0.12
132,Thrift Shop,Macklemore & Ryan Lewis,hip-hop,playful,0.72,98,0.66,0.81,0.1
133,Can't Hold Us,Macklemore & Ryan Lewis,hip-hop,energetic,0.85,146,0.8,0.76,0.02
134,Same Love,Macklemore & Ryan Lewis,hip-hop,introspective,0.47,83,0.44,0.51,0.15
135,Power,Kanye West,hip-hop,intense,0.58,90,0.31,0.45,0.09
136,Famous,Kanye West,hip-hop,moody,0.48,104,0.35,0.56,0.21
137,Hotline Bling,Drake,hip-hop,moody,0.53,135,0.59,0.63,0.05
138,One Dance,Drake,hip-hop,relaxed,0.62,104,0.7,0.77,0.07
139,Passionfruit,Drake,hip-hop,romantic,0.59,108,0.65,0.74,0.1
140,Hold On We're Going Home,Drake,hip-hop,romantic,0.6,97,0.59,0.62,0.14
141,Bohemian Rhapsody,Queen,rock,nostalgic,0.4,72,0.33,0.39,0.48
142,Smells Like Teen Spirit,Nirvana,rock,intense,0.92,117,0.44,0.51,0.0
143,Hotel California,Eagles,rock,nostalgic,0.52,75,0.23,0.45,0.65
144,Back in Black,AC/DC,rock,energetic,0.84,94,0.57,0.62,0.01
145,Thunderstruck,AC/DC,rock,intense,0.93,133,0.54,0.63,0.01
146,Enter Sandman,Metallica,rock,intense,0.89,123,0.24,0.5,0.0
147,Welcome to the Jungle,Guns N' Roses,rock,intense,0.85,127,0.55,0.51,0.0
148,November Rain,Guns N' Roses,rock,melancholic,0.45,72,0.3,0.29,0.52
149,Livin' on a Prayer,Bon Jovi,rock,energetic,0.89,123,0.78,0.66,0.01
150,Everlong,Foo Fighters,rock,intense,0.72,158,0.38,0.43,0.01
151,Best of You,Foo Fighters,rock,intense,0.93,130,0.44,0.5,0.0
152,Radioactive,Imagine Dragons,rock,intense,0.59,136,0.42,0.46,0.0
153,Demons,Imagine Dragons,rock,melancholic,0.51,90,0.53,0.49,0.5
154,Thunder,Imagine Dragons,rock,energetic,0.87,160,0.67,0.54,0.02
155,Believer,Imagine Dragons,rock,energetic,0.83,125,0.61,0.54,0.01
156,Stressed Out,Twenty One Pilots,rock,moody,0.73,169,0.58,0.74,0.05
157,Tear in My Heart,Twenty One Pilots,rock,happy,0.85,178,0.89,0.79,0.07
158,Take Me to Church,Hozier,rock,intense,0.77,130,0.27,0.4,0.3
159,Black Hole Sun,Soundgarden,rock,moody,0.62,52,0.12,0.43,0.32
160,Jeremy,Pearl Jam,rock,intense,0.73,117,0.18,0.38,0.29
161,Alive,Pearl Jam,rock,intense,0.85,167,0.59,0.59,0.01
162,Walk This Way,Aerosmith,rock,energetic,0.89,111,0.74,0.65,0.02
163,Dream On,Aerosmith,rock,nostalgic,0.48,77,0.33,0.33,0.62
164,Pour Some Sugar on Me,Def Leppard,rock,energetic,0.86,134,0.76,0.68,0.01
165,Jump,Van Halen,rock,energetic,0.78,138,0.92,0.55,0.01
166,All the Small Things,Blink-182,rock,happy,0.87,148,0.84,0.72,0.01
167,In the End,Linkin Park,rock,melancholic,0.79,105,0.35,0.62,0.04
168,Numb,Linkin Park,rock,melancholic,0.76,107,0.29,0.51,0.02
169,Bring Me to Life,Evanescence,rock,intense,0.83,99,0.29,0.43,0.01
170,Seven Nation Army,The White Stripes,rock,moody,0.56,124,0.28,0.59,0.12
171,Creep,Radiohead,rock,melancholic,0.63,93,0.3,0.5,0.56
172,Sex on Fire,Kings of Leon,rock,energetic,0.83,152,0.64,0.62,0.01
173,Use Somebody,Kings of Leon,rock,nostalgic,0.62,136,0.55,0.59,0.25
174,Wonderwall,Oasis,rock,nostalgic,0.44,88,0.55,0.46,0.79
175,Under the Bridge,Red Hot Chili Peppers,rock,nostalgic,0.44,84,0.36,0.41,0.82
176,Californication,Red Hot Chili Peppers,rock,nostalgic,0.48,96,0.42,0.46,0.73
177,Give It Away,Red Hot Chili Peppers,rock,energetic,0.94,176,0.55,0.67,0.01
178,Paint It Black,The Rolling Stones,rock,moody,0.84,161,0.26,0.55,0.06
179,Start Me Up,The Rolling Stones,rock,energetic,0.87,126,0.74,0.72,0.02
180,Come Together,The Beatles,rock,moody,0.65,84,0.52,0.64,0.21
181,Hey Jude,The Beatles,rock,happy,0.52,75,0.73,0.43,0.64
182,Let It Be,The Beatles,rock,relaxed,0.28,75,0.63,0.36,0.89
183,Sweet Home Alabama,Lynyrd Skynyrd,rock,energetic,0.78,100,0.81,0.7,0.25
184,Free Bird,Lynyrd Skynyrd,rock,nostalgic,0.48,74,0.57,0.4,0.61
185,Don't Stop Me Now,Queen,rock,energetic,0.84,156,0.97,0.74,0.09
186,We Will Rock You,Queen,rock,intense,0.87,81,0.58,0.65,0.02
187,We Are the Champions,Queen,rock,energetic,0.63,64,0.64,0.45,0.32
188,Highway to Hell,AC/DC,rock,energetic,0.88,116,0.7,0.65,0.01
189,Hells Bells,AC/DC,rock,intense,0.8,76,0.35,0.57,0.03
190,Master of Puppets,Metallica,rock,intense,0.95,212,0.2,0.49,0.0
191,Despacito,Luis Fonsi ft. Daddy Yankee,latin,playful,0.81,89,0.81,0.69,0.15
192,Con Calma,Daddy Yankee,latin,playful,0.72,95,0.83,0.79,0.07
193,Bailando,Enrique Iglesias,latin,playful,0.77,130,0.85,0.81,0.04
194,La Bamba,Ritchie Valens,latin,playful,0.85,130,0.93,0.88,0.25
195,Macarena,Los del Rio,latin,playful,0.73,104,0.87,0.89,0.05
196,Livin' la Vida Loca,Ricky Martin,latin,energetic,0.93,178,0.83,0.87,0.02
197,She Bangs,Ricky Martin,pop,energetic,0.88,133,0.82,0.89,0.02
198,Danza Kuduro,Don Omar & Lucenzo,latin,energetic,0.91,130,0.89,0.9,0.01
199,Gasolina,Daddy Yankee,latin,energetic,0.93,100,0.9,0.87,0.0
200,DAKITI,Bad Bunny & Jhay Cortez,latin,moody,0.6,130,0.58,0.79,0.02
201,Hawai,Maluma,latin,romantic,0.67,96,0.82,0.84,0.08
202,Mi Gente,J Balvin,latin,energetic,0.86,102,0.8,0.85,0.01
203,Reggaeton Lento,CNCO,latin,romantic,0.7,80,0.79,0.88,0.09
204,El Perdon,Nicky Jam & Enrique Iglesias,latin,romantic,0.73,88,0.84,0.83,0.1
205,Taki Taki,DJ Snake,electronic,energetic,0.87,98,0.82,0.84,0.01
206,Conga,Gloria Estefan,pop,energetic,0.88,126,0.9,0.89,0.04
207,Bamboleo,Gipsy Kings,latin,playful,0.72,168,0.85,0.72,0.61
208,Oye Como Va,Santana,latin,energetic,0.71,132,0.83,0.82,0.17
209,La Vida Es Un Carnaval,Celia Cruz,latin,happy,0.8,118,0.96,0.87,0.17
210,Obsesion,Aventura,latin,romantic,0.61,96,0.74,0.79,0.42
211,La Tortura,Shakira,latin,melancholic,0.6,95,0.66,0.76,0.27
212,Hips Don't Lie,Shakira,pop,energetic,0.81,101,0.93,0.79,0.2
213,Waka Waka,Shakira,pop,energetic,0.78,126,0.88,0.77,0.12
214,Bonita,J Balvin,latin,happy,0.77,93,0.88,0.86,0.09
215,Give Me Everything,Pitbull ft. Ne-Yo,pop,energetic,0.83,129,0.87,0.75,0.05
216,International Love,Pitbull ft. Chris Brown,pop,energetic,0.78,130,0.78,0.74,0.02
217,Lean On,Major Lazer,electronic,energetic,0.83,98,0.72,0.68,0.02
218,Trumpets,Jason Derulo,pop,romantic,0.62,87,0.88,0.71,0.14
219,Tumbao,Celia Cruz,latin,happy,0.79,120,0.93,0.87,0.14
220,Llegaste Tu,Don Omar,latin,playful,0.81,105,0.86,0.88,0.08
221,Ven y Dame un Poco,Tito Nieves,latin,romantic,0.64,93,0.84,0.74,0.47
222,Ay Chico,Pitbull,pop,energetic,0.88,126,0.87,0.87,0.01
223,Me Rehuso,Danny Ocean,latin,romantic,0.54,83,0.78,0.63,0.32
224,Sin Pijama,Becky G & Natti Natasha,latin,playful,0.79,97,0.82,0.87,0.05
225,Sensacion del Bloque,Daddy Yankee,latin,energetic,0.9,102,0.88,0.9,0.03
226,Superstition,Stevie Wonder,soul,energetic,0.83,100,0.77,0.81,0.04
227,Isn't She Lovely,Stevie Wonder,soul,happy,0.59,137,0.92,0.61,0.53
228,Higher Ground,Stevie Wonder,soul,energetic,0.83,118,0.86,0.84,0.01
229,Let's Get It On,Marvin Gaye,soul,romantic,0.53,78,0.9,0.68,0.57
230,Sexual Healing,Marvin Gaye,soul,romantic,0.52,96,0.74,0.72,0.28
231,What's Going On,Marvin Gaye,soul,introspective,0.35,98,0.63,0.52,0.76
232,I Heard It Through the Grapevine,Marvin Gaye,soul,melancholic,0.72,111,0.51,0.72,0.11
233,Respect,Aretha Franklin,soul,energetic,0.78,115,0.92,0.74,0.11
234,Think,Aretha Franklin,soul,energetic,0.88,131,0.9,0.82,0.08
235,I Say a Little Prayer,Aretha Franklin,soul,happy,0.67,96,0.92,0.64,0.51
236,Stand By Me,Ben E. King,soul,nostalgic,0.38,120,0.73,0.52,0.79
237,At Last,Etta James,soul,romantic,0.27,78,0.77,0.36,0.93
238,No Scrubs,TLC,soul,moody,0.62,92,0.56,0.73,0.07
239,Waterfalls,TLC,soul,melancholic,0.48,98,0.42,0.59,0.22
240,I Will Always Love You,Whitney Houston,soul,romantic,0.24,67,0.42,0.21,0.68
241,Greatest Love of All,Whitney Houston,soul,nostalgic,0.39,66,0.54,0.26,0.72
242,Kiss,Prince,soul,energetic,0.85,109,0.9,0.82,0.01
243,Purple Rain,Prince,soul,melancholic,0.33,113,0.32,0.32,0.76
244,When Doves Cry,Prince,soul,melancholic,0.79,126,0.64,0.74,0.0
245,Let's Stay Together,Al Green,soul,romantic,0.5,76,0.82,0.56,0.75
246,A Change Is Gonna Come,Sam Cooke,soul,nostalgic,0.33,74,0.4,0.28,0.82
247,Wonderful World,Sam Cooke,soul,happy,0.41,95,0.85,0.44,0.91
248,I Want You Back,Jackson 5,soul,happy,0.76,107,0.93,0.81,0.04
249,ABC,Jackson 5,soul,happy,0.83,100,0.95,0.83,0.02
250,Kill Bill,SZA,soul,moody,0.57,89,0.5,0.56,0.38
251,Good Days,SZA,soul,introspective,0.4,92,0.46,0.55,0.47
252,Shirt,SZA,soul,melancholic,0.44,83,0.33,0.56,0.29
253,Peach Jam,SZA,soul,relaxed,0.36,78,0.62,0.52,0.51
254,Higher,SiR,soul,introspective,0.44,89,0.47,0.55,0.32
255,Show Me,SiR,soul,romantic,0.51,90,0.6,0.61,0.38
256,Come Through,H.E.R.,soul,romantic,0.47,85,0.56,0.55,0.4
257,Best Part,Daniel Caesar & H.E.R.,soul,romantic,0.36,86,0.72,0.49,0.67
258,Get You,Daniel Caesar,soul,romantic,0.38,84,0.63,0.46,0.7
259,One More Time,Daft Punk,electronic,energetic,0.91,123,0.95,0.84,0.0
260,Around the World,Daft Punk,electronic,energetic,0.93,121,0.68,0.86,0.01
261,Get Lucky,Daft Punk,electronic,happy,0.77,116,0.81,0.85,0.1
262,Harder Better Faster Stronger,Daft Punk,electronic,energetic,0.91,123,0.62,0.78,0.01
263,Levels,Avicii,electronic,energetic,0.81,126,0.8,0.73,0.0
264,Wake Me Up,Avicii,electronic,happy,0.65,124,0.73,0.57,0.31
265,Hey Brother,Avicii,electronic,energetic,0.71,128,0.76,0.64,0.07
266,Beautiful Now,Zedd ft. Jon Bellion,electronic,happy,0.79,128,0.58,0.58,0.0
267,The Middle,Zedd ft. Maren Morris,electronic,happy,0.71,124,0.84,0.72,0.01
268,Clarity,Zedd ft. Foxes,electronic,melancholic,0.72,128,0.48,0.57,0.0
269,Blue (Da Ba Dee),Eiffel 65,electronic,happy,0.85,136,0.8,0.74,0.0
270,Sandstorm,Darude,electronic,energetic,0.89,136,0.51,0.73,0.0
271,Bangarang,Skrillex,electronic,intense,0.93,110,0.55,0.76,0.01
272,Scary Monsters and Nice Sprites,Skrillex,electronic,intense,0.96,140,0.37,0.63,0.01
273,Animals,Martin Garrix,electronic,energetic,0.92,128,0.58,0.67,0.01
274,Save the World,Swedish House Mafia,electronic,energetic,0.86,128,0.65,0.67,0.0
275,Don't You Worry Child,Swedish House Mafia,electronic,nostalgic,0.76,128,0.72,0.62,0.02
276,Summer,Calvin Harris,electronic,happy,0.82,128,0.81,0.73,0.0
277,Feel So Close,Calvin Harris,electronic,happy,0.77,128,0.85,0.69,0.0
278,Faded,Alan Walker,electronic,melancholic,0.55,90,0.29,0.62,0.01
279,Alone,Alan Walker,electronic,moody,0.68,90,0.38,0.63,0.0
280,Silence,Marshmello ft. Khalid,electronic,melancholic,0.72,100,0.49,0.61,0.01
281,Somebody That I Used to Know,Gotye,electronic,melancholic,0.5,129,0.36,0.63,0.51
282,Promises,Calvin Harris & Sam Smith,electronic,moody,0.68,124,0.49,0.68,0.02
283,Turn Down for What,DJ Snake & Lil Jon,electronic,energetic,0.95,100,0.68,0.83,0.0
284,Run the World (Girls),Beyonce,electronic,energetic,0.91,128,0.76,0.79,0.01
285,Burn,Ellie Goulding,electronic,energetic,0.76,128,0.73,0.67,0.03
286,Sweat,Snails & Conro,electronic,intense,0.91,140,0.5,0.78,0.0
287,Tremor,Dimitri Vegas & Like Mike & W&W,electronic,energetic,0.93,128,0.55,0.69,0.0
288,Pumped Up Kicks,Foster the People,indie pop,moody,0.68,129,0.54,0.82,0.1
289,Ho Hey,The Lumineers,indie pop,happy,0.7,122,0.89,0.67,0.81
290,Stubborn Love,The Lumineers,indie pop,nostalgic,0.49,119,0.71,0.57,0.89
291,Little Talks,Of Monsters and Men,indie pop,happy,0.77,108,0.72,0.67,0.62
292,Dog Days Are Over,Florence + The Machine,indie pop,energetic,0.74,173,0.72,0.67,0.24
293,Shake It Out,Florence + The Machine,indie pop,nostalgic,0.52,137,0.52,0.51,0.3
294,Electric Feel,MGMT,indie pop,playful,0.73,107,0.78,0.72,0.0
295,Kids,MGMT,indie pop,nostalgic,0.48,121,0.65,0.49,0.05
296,The Less I Know the Better,Tame Impala,indie pop,nostalgic,0.68,116,0.72,0.7,0.04
297,Let It Happen,Tame Impala,indie pop,energetic,0.66,118,0.5,0.64,0.03
298,Feels Like We Only Go Backwards,Tame Impala,indie pop,nostalgic,0.44,80,0.72,0.52,0.27
299,A-Punk,Vampire Weekend,indie pop,energetic,0.89,165,0.88,0.78,0.09
300,Cape Cod Kwassa Kwassa,Vampire Weekend,indie pop,happy,0.71,133,0.82,0.75,0.13
301,Slow Dancing in a Burning Room,John Mayer,indie pop,melancholic,0.34,99,0.26,0.38,0.71
302,Gravity,John Mayer,indie pop,relaxed,0.26,78,0.39,0.35,0.87
303,Young and Beautiful,Lana Del Rey,indie pop,melancholic,0.25,80,0.3,0.24,0.9
304,Video Games,Lana Del Rey,indie pop,melancholic,0.19,76,0.32,0.29,0.97
305,Tennis Court,Lorde,indie pop,moody,0.56,132,0.51,0.62,0.04
306,Royals,Lorde,indie pop,moody,0.49,130,0.49,0.72,0.04
307,Team,Lorde,indie pop,moody,0.63,122,0.35,0.68,0.0
308,Dreams,Fleetwood Mac,indie pop,nostalgic,0.45,120,0.71,0.42,0.52
309,Go Your Own Way,Fleetwood Mac,indie pop,melancholic,0.72,136,0.64,0.68,0.36
310,Somebody Else,The 1975,indie pop,moody,0.55,131,0.46,0.59,0.0
311,Chocolate,The 1975,indie pop,playful,0.81,150,0.65,0.77,0.14
312,Girls,The 1975,indie pop,nostalgic,0.62,135,0.73,0.69,0.05
313,Budapest,George Ezra,indie pop,happy,0.54,80,0.88,0.58,0.79
314,Barcelona,Ed Sheeran,indie pop,happy,0.72,99,0.88,0.76,0.12
315,Oblivion,Grimes,indie pop,moody,0.4,112,0.46,0.54,0.1
316,Genesis,Grimes,indie pop,energetic,0.71,140,0.59,0.74,0.0
317,Kyoto,Phoebe Bridgers,indie pop,introspective,0.55,133,0.42,0.55,0.38
318,One,Metallica,metal,intense,0.7,107,0.11,0.4,0.02
319,Nothing Else Matters,Metallica,metal,melancholic,0.45,69,0.28,0.27,0.84
320,The Unforgiven,Metallica,metal,melancholic,0.51,76,0.22,0.37,0.62
321,Fade to Black,Metallica,metal,melancholic,0.43,70,0.15,0.3,0.56
322,Chop Suey!,System of a Down,metal,intense,0.88,126,0.3,0.49,0.01
323,B.Y.O.B.,System of a Down,metal,intense,0.97,180,0.35,0.55,0.01
324,Toxicity,System of a Down,metal,intense,0.83,127,0.29,0.47,0.02
325,Raining Blood,Slayer,metal,intense,0.93,164,0.1,0.42,0.0
326,Reign in Blood,Slayer,metal,intense,0.98,235,0.08,0.44,0.0
327,Cowboys from Hell,Pantera,metal,intense,0.93,182,0.28,0.48,0.0
328,Walk,Pantera,metal,intense,0.93,113,0.28,0.52,0.01
329,Down with the Sickness,Disturbed,metal,intense,0.89,104,0.27,0.5,0.01
